id,job_title,canonical_title
9b8857c8-a256-44f4-8b44-14046e883c1c,Jr. Frontend Developer,Software Engineer
a3ac6439-f271-44cd-9c10-812949e28643,Lead Backend Developer,Software Engineer
0fa798aa-057d-4dca-8ff5-db102bacbb46,Senior Softawre Developer,Software Engineer
de24e85b-facc-484f-a430-6223c98a61d8,uJnior SWE II,Software Engineer
b880a86c-8a07-4a45-a14b-675c53d2cf0d,Lead Frontedn Developer I,Software Engineer
870b06bf-2934-45cf-80a4-47656cc4fc9c,Backend DeveloperI II,Software Engineer
d10fdeef-f41b-4cc7-ac2a-372b6a9a1742,Lea dSoftware Developer Level 3,Software Engineer
590885d1-8cf2-49e1-ae7a-a10d426887cc,Principal SWE Level 3,Software Engineer
db223b03-3eaa-4155-be4b-3af7e14d7e5a,uJnior Software Developer,Software Engineer
697e0036-49a2-4af6-a940-b7481a7ff4ea,Junior SWE IV,Software Engineer
e205fc5f-2020-449c-b25a-850c8380c49f,Principal SWE Level 3,Software Engineer
d52eb49f-60dc-4488-86d8-7e866f394991,SWE III,Software Engineer
5c38b783-69cc-42a2-b188-929114b053d5,Staff Full Stack Develpoer Level 2,Software Engineer
d192142f-5287-405c-b6e8-40c48757624b,Junior Backend Developer I,Software Engineer
10f3dc2c-119d-441e-a9ce-3e8bf0ce0f62,Jr. Frontend Developre II,Software Engineer
e3256e39-764f-43a9-84d2-39ec91cd3449,Senior Frontend Developer Level 3,Software Engineer
a41dcdf0-9cc2-4658-a10d-53c943ab83c0,StaffS WE,Software Engineer
d28f9763-4f5e-4a00-a197-598f28f08c4a,Sr. SWE IV,Software Engineer
81270aed-cfea-4bfc-a924-29c113cdb001,Principal Frontend Developer III,Software Engineer
ae316353-6934-4910-9d52-c9be0fa99075,Jnuior Frontend Developer IV,Software Engineer
7eda2c1c-7866-4f74-a522-3b91ccc83d3e,Staff Backend Dveeloper Level 3,Software Engineer
85845b8d-055d-497e-ac76-4932e7790741,Lead SWE IV,Software Engineer
d458144b-7b6c-4830-a3ef-d8a4b6aaa2da,Jr. Full Stack Developer II,Software Engineer
f5795eb8-15f2-4a48-94c4-2337b94d62a5,Principal Software Developer I,Software Engineer
94b0f301-0304-4ab1-9d89-c3ad8bc35a0d,Associate Frontend Developer III,Software Engineer
7418d0e1-30b4-44cf-ae00-797cdf1a7228,Associate Full Stack Developer II,Software Engineer
c04af6ab-2daf-442d-806b-dbdca76286e0,Sr. Full Stack Developer IV,Software Engineer
79578f96-8750-4cb4-9084-1eab22d6ad4c,Associate Full Stack Developer IV,Software Engineer
0faa05ac-846b-4f07-a64e-8e850516d7a9,Staff Full Stack Developer Level 2,Software Engineer
f4b6373d-58d6-4c28-a758-11cb0223d212,Sr. Frontend Developer II,Software Engineer
420a5a43-67f8-41f9-9fca-34d246155cf7,Lead SWE,Software Engineer
ac3ef55f-51f0-4d9d-85ba-b2402b7eab40,Sr. Frontend Developer Leve l2,Software Engineer
ae72a3ed-88d6-451c-9596-4d64d0c8b028,Associate Full Stack Developer,Software Engineer
44e5d4bc-f52b-4642-b861-b51d1823fd5a,Staff Full Stack Developer II,Software Engineer
58d91822-1546-42b3-bca7-aae18640de7f,Full Stack Developer IV,Software Engineer
86861a7c-f2b5-4b47-b135-78d129779e4b,Associate Full Stack Developer Level 2,Software Engineer
c83d51fe-adee-4682-827e-b2334f05ea0f,Sr. Frontend Developer,Software Engineer
3e60377f-1fee-4ed5-bcbd-44f57d19aaca,Sr. Full Stack Developer Level 2,Software Engineer
2a371978-e504-4359-bb36-0c411461c8cd,Jr. Frontend Developer I,Software Engineer
323fa503-c4ae-41d6-a860-08d4c553880d,Backend Developer III,Software Engineer
c263ddf2-0ed3-4ab5-881a-117c2ba7402d,Principal SWE IV,Software Engineer
6f714c13-98b4-41fe-9166-e97a2ca67dfd,Sr. Full Stack Developer III,Software Engineer
6b15669c-07e1-4d51-ac64-28d67292e8ae,Jr. Full Stack Developer Level 2,Software Engineer
d86311f5-2893-411c-9fd5-07a82c56a09e,Sr. Bcakend Developer,Software Engineer
a5ff133a-fccc-4a2a-b411-7339bdf7e501,Sr. Softwar eDeveloper I,Software Engineer
fcecd2a1-ab97-464e-aa5b-304d8ca766c4,Staff Backend Developer III,Software Engineer
b42ab50c-4db6-4dc5-aa4b-306050e3e3f7,Sr. Backend Developer Level 2,Software Engineer
a6727633-ee3d-4bf1-b3b7-83d796c5a002,Senior SWE IV,Software Engineer
c3129385-cebd-4ab0-8af6-2c92194936d0,Full Stack Developer Level 3,Software Engineer
bcf2e529-957a-4ad7-a05f-e69742843d62,Associate Full Stack Devleoper Level 2,Software Engineer
1338406c-d94d-4438-bb6a-240b5d2e31b0,Backend Developer Level 2,Software Engineer
75504e9b-2f9c-46dd-9d02-4dbb18296593,Associate Backend Developer Level 3,Software Engineer
70d09461-1c40-4847-b377-1b4c89d6e0e2,Junior Backend Developer IV,Software Engineer
34c91eef-a124-461d-adc3-b8179152e741,Sr. SW ELevel 3,Software Engineer
e22b6c31-01fe-4c8e-a2cf-4bc2162de033,Senior SWEL evel 2,Software Engineer
6ca8fc0d-edc4-4871-9ab6-79c39117e355,Junior Full Stack Developer Level 3,Software Engineer
856dc37e-e81c-447a-bbb2-7ab03ef7ec67,Lead Frontend Developer Level 2,Software Engineer
3750caf2-0804-472a-b1fa-d0674019fbf3,Sr. Software Developer IV,Software Engineer
e9bcfd42-e5d3-41b0-956d-b5f4d5f157e8,Junior Software Developer III,Software Engineer
ad97fede-a3da-4b21-a00e-2863a51a6355,LeadB ackend Developer,Software Engineer
94c32480-98a9-4892-bffd-f1fe0d459651,Lead Software Devleoper Level 2,Software Engineer
e8140fe8-1904-4bdd-b6dd-22a41decd579,Pricnipal Backend Developer III,Software Engineer
af71fa24-8a76-4af6-a977-e33fea0cdeb9,Satff SWE Level 2,Software Engineer
ddd3f91e-64f3-42d1-ad63-dde2aedfdab0,Lead SWE,Software Engineer
dbc34afb-f301-4989-836e-5a1da005f600,Sr. Software Developer Level 3,Software Engineer
c12b8b3c-ad47-4684-9cca-e5f2cf5e94d1,Senior Software Developer IV,Software Engineer
daf801e3-5d5f-417b-939f-5970b3741d14,Jr. Frontend Developer IV,Software Engineer
7b07697e-8b85-4ae6-a9f3-288387330bec,Lead Frontend Devleoper IV,Software Engineer
45744080-c356-4474-9e18-2e8eada4775c,Junior Frontend Developer Level 3,Software Engineer
acb06e3c-becf-4c3e-a2c7-011c54d5cc4f,Staff Frnotend Developer IV,Software Engineer
616f11a6-6334-4996-a884-61271e801878,Associate Software Developer Level 2,Software Engineer
0a3f7540-39f3-4216-adbf-a937594ec599,Sr. Backend Developre IV,Software Engineer
8e867a13-29fe-41b5-a35e-089c38baee69,Sr. Software Developer I,Software Engineer
4e23a72c-dd1a-4049-bf65-80020f0dbe87,Sr. Frontend Developer,Software Engineer
9fcae401-673b-4a3f-b28b-27cecf76eefc,Sr. Backend Dveeloper Level 3,Software Engineer
5f504119-c315-43b3-8e3e-7bb1558c0c01,Staff Frontend Developer I,Software Engineer
8ada2cf8-8053-4d3e-823b-f5da67eee506,Principal SWE I,Software Engineer
3a12497e-c7be-4916-b296-1b65250e3a2f,Staff Frontend Developer,Software Engineer
e849b3a9-e284-4602-a5f8-50209d9fc4d3,Sr. SWE IV,Software Engineer
099fd30f-b07f-4faf-910a-dee9d5b14de5,Lead Full Stac kDeveloper,Software Engineer
c7965a3f-d74c-4b64-87f9-6335d85c77d0,Senior Backend Developer III,Software Engineer
0798a548-aad8-4f8e-86c6-8e82d2aaa437,Principal Frontend Developer III,Software Engineer
414e21f6-3018-42dc-a140-5521de1d23e9,Associate Full Stack Developer Level 2,Software Engineer
bac368d5-4295-4526-ae14-e1788733193d,Lead Full Stack Developer,Software Engineer
32d79852-5ae9-44b4-bcd2-cc1c3e04ce44,Senior Frontend eDveloper I,Software Engineer
bba7a2ca-6e79-409c-8c68-625cbcba54fd,Lead Backend Developer,Software Engineer
9d0b1660-a420-4cad-b79f-1b0bb55ba638,Jr. Software Developer,Software Engineer
0f5b6730-5184-4701-93cd-5ac7f110ee00,Lead SWE IV,Software Engineer
29358edf-aa2a-4676-9bf4-53789c947918,Backen dDeveloper IV,Software Engineer
41afec1c-098a-4e73-89dd-32bb67d0f82a,Senior Backend eDveloper I,Software Engineer
9fe599cc-7722-4e6a-973c-513f92a93162,SWE IV,Software Engineer
8243b592-63ef-401a-9ca6-0dac5a6b41a7,Senior Full tSack Developer IV,Software Engineer
33b25e32-e8c4-4735-ba2a-c0fb3f93f18e,Staff Frontend Developer Level 2,Software Engineer
16e1c85f-2a6d-4058-b032-6f8060d0ffc1,Junior Full Stack Developer IV,Software Engineer
40442143-b706-4809-a178-7b883ffc1680,Senior Backedn Developer I,Software Engineer
32ef7c2b-8ccf-4b69-9b77-62063c468f3f,Full Stack Developer I,Software Engineer
2292ed58-da38-4594-bfef-8edf63323a7b,Junior Frontend Developer II,Software Engineer
32e54b91-8d64-49d4-b97a-0eef846b775e,Lead Backend Developer IV,Software Engineer
5e917ecd-a999-4603-bdc8-2c1e56941345,Lead SWE III,Software Engineer
56d29447-6bb6-49bd-baf7-7fbda286aaee,Junior Software Dveeloper III,Software Engineer
4e2db396-34f1-4253-8d71-19e38683f027,Senior Software Dveeloper III,Software Engineer
8bf0403d-d854-4a2c-b772-0eae938b9a1c,Frontend Developer I,Software Engineer
cc6a22a0-6abb-4294-8871-ff1d234967c8,Staff Full Stack Develope rLevel 2,Software Engineer
a83452d1-f4ab-4a66-9b1f-dec5590383a7,Lead rFontend Developer Level 2,Software Engineer
5cb146d2-93d7-4951-bb8d-146b8304ce19,Associate Full Stack Develoepr III,Software Engineer
19ab9137-adea-48c0-8a6c-e3cbfda49766,Junior SWE III,Software Engineer
f6888210-967c-4afe-b454-9d23164fba9d,Staff SWE,Software Engineer
61767e97-1943-4283-9d75-fca0e72667d4,Associate FrontendD eveloper I,Software Engineer
08c777d8-303e-4158-a0d1-ffe855216fe9,Sr. Backend Developer IV,Software Engineer
a4e7fb0d-8d20-405e-9156-dd45a0c6ee4b,Senior Frontend Developer IV,Software Engineer
1e3d7858-3710-4a9d-9950-bb5199ac7299,Sr. Software Developer Level 3,Software Engineer
4ce9c0b9-eee1-4d91-a608-6a63737af92d,Staff Frontend Developer IV,Software Engineer
52dfbfe1-f786-42f9-9d4b-511ec22130dc,Associate Full Stakc Developer III,Software Engineer
d33ab266-8698-445e-affc-dccafc01adad,Junior Software Developer II,Software Engineer
57158613-d890-46c5-8a56-7eea17e1c417,Principal Backend Developer II,Software Engineer
73697e8e-251e-468e-b69e-8f67cf98a9b9,Senior Frontend Developer III,Software Engineer
16a2b876-06fc-4bc0-8ceb-7f64fd39359a,Jr. SEW I,Software Engineer
1935ac65-63ad-4ab1-a189-cc3a8c9ffd4d,Associate Frontend Developer IV,Software Engineer
263a76bf-4a14-4a7a-bd13-b51b10931edf,Senior Backend Developer Level 2,Software Engineer
